workerid,proliferate.condition,age,ethnicity,gender,race,error
366,absent,27,Hispanic,Female,other_race,
358,absent,62,Non-Hispanic,Female,White,
350,absent,41,Non-Hispanic,Female,White,
339,absent,59,Non-Hispanic,Male,,
337,absent,42,Non-Hispanic,Male,White,
329,absent,34,Non-Hispanic,Male,White,
323,absent,29,Non-Hispanic,Female,White,
361,absent,56,Non-Hispanic,Male,White,
363,absent,62,Non-Hispanic,Male,White,
331,absent,34,Non-Hispanic,Female,White,
333,absent,37,Non-Hispanic,Female,White,
370,absent,40,Non-Hispanic,Female,White,
352,absent,37,Non-Hispanic,Female,Black/African American,
341,absent,47,Non-Hispanic,Male,White,
345,absent,43,Non-Hispanic,Female,White,
368,absent,21,Non-Hispanic,Female,Black/African American,
343,absent,59,Non-Hispanic,Male,White,
347,absent,28,Non-Hispanic,Female,White,
356,absent,52,Non-Hispanic,Female,White,
353,absent,42,Non-Hispanic,Male,Black/African American,
367,present,59,Non-Hispanic,Female,Asian,
364,present,53,,Female,Black/African American,
332,present,39,Non-Hispanic,Female,White,
351,present,33,Non-Hispanic,Male,Black/African American,
340,present,39,Non-Hispanic,Female,White,
348,present,56,Non-Hispanic,Female,White,
360,present,44,Non-Hispanic,Male,White,
349,present,57,Non-Hispanic,Female,White,
328,present,31,Non-Hispanic,Male,White,
330,present,28,Non-Hispanic,Female,Asian,
346,present,58,Non-Hispanic,Female,Black/African American,
336,present,51,Non-Hispanic,Male,Asian,
369,present,79,Non-Hispanic,Female,White,
326,present,39,Non-Hispanic,Female,White,
342,present,58,Non-Hispanic,Female,White,
334,present,41,Non-Hispanic,Female,White,
338,present,41,Non-Hispanic,Female,White,
359,present,45,Non-Hispanic,Male,White,
362,present,43,Non-Hispanic,Female,White,
354,present,43,Non-Hispanic,Female,White,
