workerid,proliferate.condition,age,ethnicity,gender,race,error
588,physical,36,Hispanic,Female,American Indian/Alaska Native,
572,physical,45,Non-Hispanic,Female,White,
578,physical,47,Non-Hispanic,Male,White,
586,physical,56,Non-Hispanic,Male,White,
582,physical,55,Non-Hispanic,Male,White,
562,physical,29,Non-Hispanic,Male,White,
599,physical,27,Non-Hispanic,Male,White,
595,physical,26,Non-Hispanic,Female,Asian,
568,physical,51,Non-Hispanic,Male,White,
558,physical,38,Non-Hispanic,Female,Black/African American,
574,physical,25,Non-Hispanic,Male,Asian,
576,physical,29,Non-Hispanic,Female,Asian,
597,physical,42,Non-Hispanic,Male,White,
566,physical,34,Hispanic,Male,White,
560,physical,66,Non-Hispanic,Female,White,
591,physical,46,Non-Hispanic,Male,White,
593,physical,24,Non-Hispanic,Non-binary,other_race,
570,physical,19,Non-Hispanic,Male,White,
584,physical,36,Non-Hispanic,Male,White,
589,physical,48,Non-Hispanic,other_gender,White,
587,mental,31,Non-Hispanic,Female,White,
565,mental,34,Non-Hispanic,Female,Black/African American,
567,mental,51,Non-Hispanic,Male,White,
596,mental,49,Non-Hispanic,Female,White,
583,mental,51,Non-Hispanic,Female,Black/African American,
601,mental,53,Non-Hispanic,Male,Asian,
571,mental,56,Non-Hispanic,Female,White,
561,mental,33,Non-Hispanic,Male,Asian,
579,mental,31,Non-Hispanic,Female,Black/African American,
563,mental,65,Non-Hispanic,Female,White,
581,mental,42,Non-Hispanic,Male,White,
592,mental,61,Non-Hispanic,Female,White,
585,mental,39,Non-Hispanic,Male,White,
573,mental,27,Non-Hispanic,Female,White,
575,mental,30,Hispanic,Male,White,
590,mental,38,Non-Hispanic,Female,White,
559,mental,32,Non-Hispanic,Female,White,
569,mental,30,Non-Hispanic,Female,White,
598,mental,21,Non-Hispanic,Male,White,
594,mental,36,Non-Hispanic,Female,White,
577,mental,24,Non-Hispanic,Male,White,
