workerid,proliferate.condition,scenario_order,error
80,accidental,mirror,
80,accidental,bike,
70,accidental,mirror,
70,accidental,bike,
62,accidental,mirror,
62,accidental,bike,
95,accidental,mirror,
95,accidental,bike,
100,accidental,mirror,
100,accidental,bike,
60,accidental,bike,
60,accidental,mirror,
76,accidental,mirror,
76,accidental,bike,
72,accidental,mirror,
72,accidental,bike,
78,accidental,bike,
78,accidental,mirror,
64,accidental,bike,
64,accidental,mirror,
86,accidental,bike,
86,accidental,mirror,
92,accidental,bike,
92,accidental,mirror,
99,accidental,bike,
99,accidental,mirror,
88,accidental,bike,
88,accidental,mirror,
90,accidental,mirror,
90,accidental,bike,
94,accidental,bike,
94,accidental,mirror,
68,accidental,mirror,
68,accidental,bike,
84,accidental,mirror,
84,accidental,bike,
66,accidental,bike,
66,accidental,mirror,
82,accidental,bike,
82,accidental,mirror,
89,intentional,bike,
89,intentional,mirror,
87,intentional,mirror,
87,intentional,bike,
91,intentional,bike,
91,intentional,mirror,
61,intentional,bike,
61,intentional,mirror,
77,intentional,mirror,
77,intentional,bike,
79,intentional,bike,
79,intentional,mirror,
83,intentional,mirror,
83,intentional,bike,
98,intentional,bike,
98,intentional,mirror,
75,intentional,bike,
75,intentional,mirror,
63,intentional,bike,
63,intentional,mirror,
96,intentional,bike,
96,intentional,mirror,
101,intentional,mirror,
101,intentional,bike,
59,intentional,mirror,
59,intentional,bike,
81,intentional,mirror,
81,intentional,bike,
73,intentional,bike,
73,intentional,mirror,
67,intentional,mirror,
67,intentional,bike,
69,intentional,mirror,
69,intentional,bike,
71,intentional,bike,
71,intentional,mirror,
93,intentional,mirror,
93,intentional,bike,
65,intentional,bike,
65,intentional,mirror,
