workerid,proliferate.condition,age,ethnicity,gender,race,error
305,intentional,52,Non-Hispanic,Male,White,
309,intentional,37,Non-Hispanic,Male,Asian,
297,intentional,49,Non-Hispanic,Male,Asian,
314,intentional,36,Non-Hispanic,Male,White,
281,intentional,42,Non-Hispanic,Female,White,
283,intentional,47,Non-Hispanic,Female,White,
289,intentional,41,Non-Hispanic,Male,Asian,
285,intentional,32,Non-Hispanic,Male,White,
295,intentional,57,Non-Hispanic,Female,White,
299,intentional,48,Non-Hispanic,Female,White,
301,intentional,59,Non-Hispanic,Male,White,
287,intentional,55,Non-Hispanic,Male,White,
316,intentional,50,Non-Hispanic,Female,Asian,
311,intentional,39,Non-Hispanic,Female,Asian,
319,intentional,23,Non-Hispanic,Female,White,
291,intentional,40,Non-Hispanic,Male,other_race,
321,intentional,18,Non-Hispanic,Female,White,
307,intentional,23,Non-Hispanic,Female,Asian,
303,intentional,24,Non-Hispanic,Female,White,
293,intentional,61,Non-Hispanic,Female,White,
313,accidental,53,Non-Hispanic,Female,Black/African American,
282,accidental,46,Non-Hispanic,Male,White,
292,accidental,37,Non-Hispanic,Male,White,
300,accidental,46,Non-Hispanic,Male,White,
315,accidental,25,Non-Hispanic,Male,White,
302,accidental,51,Non-Hispanic,Male,Asian,
294,accidental,47,Non-Hispanic,Male,White,
290,accidental,52,Non-Hispanic,Male,White,
298,accidental,43,Non-Hispanic,Female,White,
296,accidental,33,Non-Hispanic,Male,Asian,
322,accidental,35,Non-Hispanic,Male,White,
365,accidental,53,Non-Hispanic,Female,Black/African American,
318,accidental,48,Non-Hispanic,Female,White,
304,accidental,35,Non-Hispanic,Male,White,
286,accidental,36,Non-Hispanic,Female,White,
284,accidental,40,Hispanic,Male,White,
312,accidental,39,Non-Hispanic,Male,White,
306,accidental,60,Non-Hispanic,Female,White,
320,accidental,20,Non-Hispanic,Male,White,
310,accidental,37,Non-Hispanic,Female,White,
