workerid,proliferate.condition,scenario_order,error
556,mental,shock,
556,mental,hurt,
524,mental,hurt,
524,mental,shock,
551,mental,hurt,
551,mental,shock,
461,mental,hurt,
461,mental,shock,
491,mental,hurt,
491,mental,shock,
469,mental,hurt,
469,mental,shock,
463,mental,hurt,
463,mental,shock,
534,mental,shock,
534,mental,hurt,
538,mental,hurt,
538,mental,shock,
476,mental,shock,
476,mental,hurt,
520,mental,shock,
520,mental,hurt,
484,mental,shock,
484,mental,hurt,
480,mental,hurt,
480,mental,shock,
547,mental,shock,
547,mental,hurt,
542,mental,shock,
542,mental,hurt,
500,mental,shock,
500,mental,hurt,
471,mental,shock,
471,mental,hurt,
467,mental,hurt,
467,mental,shock,
510,mental,shock,
510,mental,hurt,
527,mental,shock,
527,mental,hurt,
470,physical,hurt,
470,physical,shock,
554,physical,hurt,
554,physical,shock,
518,physical,shock,
518,physical,hurt,
522,physical,shock,
522,physical,hurt,
483,physical,hurt,
483,physical,shock,
535,physical,hurt,
535,physical,shock,
525,physical,shock,
525,physical,hurt,
504,physical,shock,
504,physical,hurt,
498,physical,hurt,
498,physical,shock,
492,physical,shock,
492,physical,hurt,
496,physical,shock,
496,physical,hurt,
552,physical,hurt,
552,physical,shock,
468,physical,hurt,
468,physical,shock,
549,physical,shock,
549,physical,hurt,
541,physical,hurt,
541,physical,shock,
544,physical,shock,
544,physical,hurt,
473,physical,shock,
473,physical,hurt,
478,physical,hurt,
478,physical,shock,
528,physical,hurt,
528,physical,shock,
503,physical,hurt,
503,physical,shock,
